DataDescriptor,TimeElap(ns),Value,AdditionalComment
Current,5502794,0.00471694847988513,num 66
Current,5517600,0.8327044369790881,num 67
Voltage,5530241,0.30226782685769116,num 68
Current,5537994,0.07139115263500762,num 68
Voltage,5549308,0.30254617343926593,num 69
Voltage,5560134,0.5880747167636223,num 70
Current,5567327,0.26722947944792175,num 70
Current,5577524,0.5145404579355117,num 71
Current,5587302,0.19113299320554678,num 72
Voltage,5598616,0.630619981269762,num 73
Voltage,5608603,0.9503729364432885,num 74
Voltage,5618521,0.048782683116288084,num 75
Current,5630324,0.502226471543768,num 76
Voltage,5641080,0.011450888477799737,num 77
Voltage,5651835,0.8000915023066215,num 78
Current,5663638,0.3459231219132526,num 78
Current,5674254,0.10973917942843259,num 79
Voltage,5687105,0.6029298029706662,num 81
Voltage,5702959,0.9971988674714458,num 83
Current,5711759,0.5247343296761715,num 83
Current,5727613,0.3792172491333978,num 86
Current,5740813,0.16958203297926422,num 88
Current,5750870,0.7598398296866429,num 89
Voltage,5760159,0.2662655273873352,num 90
Current,5770495,0.42796545068526226,num 91
Voltage,5780134,0.6637863240967191,num 92
Current,5789632,0.9943577525169599,num 93
Voltage,5813797,0.17420994751419783,num 96
Voltage,6605658,0.7490587361752522,num 97
Current,6617321,0.3630268405087518,num 97
Voltage,6629403,0.4665721626491677,num 98
Current,6639530,0.32590089011530177,num 99
Current,6653429,0.04974898717411458,num 100
Voltage,6665721,0.4211799992667522,num 101
Current,6674661,0.6017815727646453,num 101
Current,6684369,0.30942001378485384,num 102
Voltage,6701759,0.18359472155583234,num 104
Voltage,6714959,0.8969270815900069,num 105
Voltage,6732140,0.9207775789399963,num 106
Current,6743245,0.2797070461184873,num 106
Voltage,6757912,0.9364206657703502,num 107
Current,6771321,0.5959421857088706,num 108
Current,6787524,0.4053782455103693,num 110
Voltage,6800445,0.3186301729827069,num 112
Current,6807778,0.8607618815021648,num 112
Voltage,6817346,0.684494134444372,num 113
Voltage,6831105,0.6051250833419342,num 114
Voltage,6844934,0.02522218229911788,num 115
Current,6855340,0.24345452824670966,num 115
Voltage,6870915,0.970397382653749,num 116
Current,6885861,0.4334170502375516,num 116
Voltage,6899200,0.7317751090911997,num 117
Current,6909048,0.38010763847017837,num 117
Voltage,6921969,0.47821061627875905,num 118
Current,6933004,0.44665018387347755,num 118
Voltage,6945505,0.3999847903219067,num 119
Current,6955004,0.7475796502444527,num 119
Current,6967854,0.1735588619159958,num 121
Voltage,6980286,0.8863790026044115,num 122
Current,6990902,0.847384911496411,num 122
Current,7002286,0.005810537652611303,num 123
Voltage,7018140,0.6805196319890799,num 125
Current,7038673,0.23919525069746905,num 127
Voltage,7048661,0.7861058492052084,num 128
Voltage,7057111,0.899386567653964,num 129
Current,7069473,0.23562594840755735,num 129
Voltage,7102369,0.8412594903874657,num 130
Voltage,7133937,0.8389984145689764,num 131
Current,7149023,0.23044322304996623,num 131
Voltage,7181639,0.7550240689352645,num 132
Voltage,7199588,0.9266864803316703,num 134
Current,7215512,0.7750661822359892,num 135
Voltage,7229061,0.5367342165960031,num 136
Voltage,7242121,0.19053029711963332,num 137
Current,7259791,0.6702507498263935,num 137
Voltage,7272781,0.37474026295494056,num 138
Current,7289613,0.7108897031624812,num 138
Current,7302674,0.8915462949679971,num 139
Voltage,7314686,0.6487875934156231,num 140
Current,7323556,0.9606599537569942,num 140
Voltage,7336546,0.7067021973558221,num 141
Current,7347023,0.5987905305599506,num 141
Voltage,7366997,0.2793057147796756,num 142
Voltage,7377543,0.26985952078666453,num 143
Voltage,7388439,0.9968110283608311,num 145
Current,7395493,0.2835226953415805,num 145
Voltage,7405340,0.13609361336619652,num 146
Current,7412045,0.1839787662700817,num 146
Current,7420565,0.19241742559645603,num 147
Current,7429156,0.7573825485937686,num 148
Voltage,7439493,0.5525638137458997,num 149
Current,7448572,0.982471620154896,num 150
Voltage,7457512,0.9055852438875006,num 151
Current,7463867,0.9987251855256482,num 151
Voltage,7472877,0.3265828624451511,num 152
Current,7479721,0.3665411232656113,num 152
Voltage,7488312,0.64914567388545,num 153
Current,7494597,0.44513839411777234,num 153
Voltage,7505143,0.072923728013632,num 155
Current,7511848,0.6047284738576771,num 155
Current,7522464,0.3307351483953169,num 156
Current,7530985,0.028371113363362843,num 157
Voltage,7541880,0.04034507224210515,num 159
Current,7548515,0.4361500676230585,num 159
Current,7559061,0.4832348038174791,num 160
Current,7567721,0.2998047835339791,num 161
Voltage,7575823,0.6879265139893689,num 162
Voltage,7584483,0.04902365295015321,num 163
Current,7594191,0.5937728384285444,num 164
Voltage,7602712,0.538541676879088,num 165
Current,7608928,0.6956897543836303,num 165
Voltage,7617029,0.04581303127318348,num 166
Current,7623804,0.35524108916811514,num 166
Voltage,7635816,0.06624593207227325,num 167
Current,7642521,0.1032959997687165,num 167
Current,7651251,0.583862372730232,num 168
Current,7659562,0.46612319539520475,num 169
Voltage,7668293,0.07872741552617823,num 170
Current,7675486,0.48223846164041984,num 170
Voltage,7684286,0.8253158438200229,num 171
Current,7690782,0.13059601547931476,num 171
Voltage,7701188,0.36738496006200616,num 173
Current,7710197,0.7719790460633035,num 174
Current,7720464,0.6307742300121821,num 176
Voltage,7728496,0.6969014089535585,num 177
Voltage,7738832,0.4118734752416541,num 179
Current,7745677,0.8414914325120368,num 179
Current,7754616,0.586745928055166,num 180
Current,7762858,0.3516717829466398,num 181
Voltage,7771309,0.6048481447368288,num 182
Current,7780527,0.9060247328064378,num 183
Voltage,7792959,0.26117161558616353,num 184
Voltage,7814540,0.5595863550343482,num 188
Voltage,8583004,0.34115709194003596,num 189
Voltage,8596902,0.41484550824822986,num 190
Current,8604515,0.43005071672718687,num 190
Current,8614293,0.9086048916531755,num 191
Voltage,8626026,0.6886010468329142,num 193
Voltage,8635385,0.5170471873028958,num 194
Current,8641950,0.6182799885236957,num 194
Voltage,8650540,0.780969140913652,num 195
Current,8656756,0.26461959709153227,num 195
Voltage,8666045,0.18319815208251,num 196
Current,8672191,0.9698490327594304,num 196
Voltage,8683156,0.8418062273302457,num 198
Voltage,8691747,0.09166317350729214,num 199
Current,8698731,0.27473219385378356,num 199
Current,8708299,0.7680309538138742,num 200
Voltage,8716680,0.13822620311945755,num 201
Current,8727855,0.7205983880577631,num 201
Current,8736375,0.6157275311139763,num 202
Voltage,8745524,0.7694816522331611,num 203
Current,8751670,0.9961667591363002,num 203
Current,8760401,0.5941693894753816,num 204
Current,8768712,0.6407838562595795,num 205
Current,8777372,0.7897530592817971,num 206
Voltage,8786382,0.588364680740412,num 207
Current,8803213,0.8034040508850057,num 207
Current,8818020,0.0042351195769166905,num 209
Voltage,8829962,0.866336900283601,num 211
Voltage,8838413,0.9172122274923286,num 212
Current,8844699,0.08456939570046929,num 212
Voltage,8866210,0.22079488234278044,num 213
Voltage,8878363,0.8979855983878895,num 214
Current,8885137,0.8564055900840468,num 214
Voltage,8893797,0.1872711736116166,num 215
Current,8902178,0.9363539321800124,num 216
Current,8912585,0.057529148041258193,num 218
Voltage,8923969,0.9136537611281469,num 220
Current,8930534,0.3747228794524238,num 220
Voltage,8939124,0.1862316089486612,num 221
Current,8945340,0.02590624047159784,num 221
Current,8954769,0.7595589180262269,num 222
Voltage,8963150,0.42526762402060736,num 223
Current,8973626,0.4860027419746795,num 223
Voltage,8982147,0.4911619388307664,num 224
Current,8988153,0.342962380981223,num 224
Current,8997372,0.5097904101092756,num 225
Voltage,9005613,0.9762725957393196,num 226
Voltage,9013994,0.7354634730975427,num 227
Current,9026426,0.9021526641430248,num 229
Current,9038509,0.41270245553282514,num 230
Voltage,9051848,0.5708429872355436,num 231
Voltage,9069867,0.8009139879655401,num 235
Current,9079715,0.5939484844626278,num 235
Voltage,9087956,0.3347914043355068,num 236
Current,9095848,0.7360615579050294,num 237
Voltage,9104229,0.5964285635244796,num 238
Current,9110515,0.13204510113288104,num 238
Current,9122598,0.41435596925608675,num 240
Voltage,9130769,0.24781896644028945,num 241
Current,9136915,0.487021934700798,num 241
Voltage,9144947,0.33735538396521014,num 242
Voltage,9154934,0.6405187830140674,num 243
Voltage,9163315,0.2963273148763548,num 244
Current,9173651,0.4994254608422982,num 246
Voltage,9182452,0.43293662822759715,num 247
Current,9191810,0.7272280274863506,num 247
Current,9208921,0.5504208099324038,num 248
Current,9217931,0.4062496861632269,num 249
Voltage,9241956,0.8192768304404089,num 250
Current,9256204,0.11615969015899164,num 251
Current,9266051,0.6964112844175048,num 252
Current,9280998,0.36542865509605116,num 256
Voltage,9294407,0.8969019730163446,num 257
Current,9302439,0.5613690754003997,num 257
Voltage,9313055,0.48739602419167083,num 259
Current,9326185,0.9498488775581225,num 262
Voltage,9334566,0.9622114122279161,num 263
Current,9341061,0.17012011933982496,num 263
Voltage,9349791,0.7284304827299223,num 264
Current,9356147,0.0197695394347156,num 264
Voltage,9367880,0.10387022673183821,num 266
Current,9374445,0.6926162164695024,num 266
Current,9382896,0.8906248252106659,num 267
Voltage,9395607,0.13393656273783305,num 270
Voltage,9405804,0.44784399117075746,num 272
Current,9414534,0.596231496572516,num 273
Current,9430109,0.395692174094735,num 274
Voltage,9438979,0.32296691059894334,num 275
Current,9445544,0.4626680121076864,num 275
Voltage,9454204,0.37927805757220956,num 276
Voltage,9462724,0.32345562232977076,num 277
Voltage,9474318,0.459022950426743,num 279
Voltage,9482979,0.7878489009075241,num 280
Current,9489683,0.69884041738439,num 280
Voltage,9498064,0.01961640634199413,num 281
Current,9505188,0.21986065023854684,num 281
Current,9514686,0.22017452843138519,num 282
Current,9523836,0.44234134154602933,num 283
Voltage,9532356,0.2963281198772908,num 284
Current,9543391,0.680315215566908,num 286
Voltage,9552331,0.09299621958310522,num 287
Voltage,9561340,0.9381685119605424,num 288
Voltage,9570140,0.5758418067600429,num 289
Current,9576217,0.24346723170006124,num 289
Voltage,9586483,0.5728116525092385,num 290
Current,9592769,0.7191374593018576,num 290
Voltage,9603245,0.7409151365979374,num 292
Voltage,9611556,0.07288503487915832,num 293
Voltage,9626502,0.33566507139024704,num 294
Current,9645569,0.8591544672587105,num 300
Voltage,9655905,0.023615939883055326,num 301
Voltage,9665264,0.28877846743648383,num 302
Voltage,9675601,0.13922769401364,num 304
Voltage,9687194,0.555327386354547,num 306
Voltage,9695296,0.548188129605265,num 307
Current,9701512,0.8085796606396108,num 307
Voltage,9709544,0.2615148430909128,num 308
Current,9715620,0.2790593153523413,num 308
Voltage,9729728,0.570085395277738,num 311
Current,9735804,0.35070492280883236,num 311
Voltage,9743975,0.8471741808911333,num 312
Voltage,9754871,0.3187237836685888,num 314
Current,9761156,0.9655874236304647,num 314
Voltage,9769677,0.9907480590285521,num 315
Voltage,9778267,0.9841848292959502,num 316
Current,9785391,0.5015856736465946,num 316
Current,9794052,0.37246585941789057,num 317
Voltage,9803410,0.2559346502625838,num 318
Current,9815842,0.7074086605104009,num 319
Voltage,9827086,0.37344116189904786,num 320
Current,9833652,0.6890312710383529,num 320
Current,9844337,0.7038343778335369,num 321
Voltage,9853067,0.724726504891903,num 322
Current,9859213,0.4283856200467241,num 322
Voltage,9868083,0.3368448014291546,num 323
Current,9874369,0.5863470183561938,num 323
Voltage,9888407,0.8304943391250772,num 324
Current,9894763,0.14374620484633804,num 324
Voltage,9903423,0.8656523742341329,num 325
Voltage,9911804,0.8698675333813115,num 326
Voltage,9924375,0.40110757779375183,num 327
Current,9932058,0.12794135478932256,num 327
Voltage,9954267,0.2630542664893357,num 328
Current,9959296,0.07794102021678828,num 328
Current,9968515,0.178304582115425,num 330
Voltage,9983182,0.639694397374501,num 332
Voltage,9991842,0.5416689284154332,num 334
Current,9997499,0.39768016934092976,num 334
Voltage,10013912,0.10404997383943604,num 337
Current,10021106,0.9625020265140546,num 337
Voltage,10032071,0.37221171265286945,num 338
Voltage,10041918,0.6916604590560682,num 339
Voltage,10051137,0.4133316831089231,num 340
Current,10058680,0.15101255245793654,num 340
Voltage,10069925,0.6282542669749177,num 341
Voltage,10078795,0.573637748687875,num 342
Current,10084382,0.3407046620120039,num 342
Current,10093740,0.45804759041112575,num 343
Voltage,10108058,0.3385948665934333,num 346
Current,10114064,0.6342431953009824,num 346
Current,10122655,0.2660029397223702,num 347
Voltage,10129779,0.5377298513060428,num 348
Current,10134458,0.7716043077025345,num 348
Voltage,10139975,0.6640628867593871,num 349
Voltage,10145493,0.04499961561077992,num 350
Voltage,10156458,0.20633937874957697,num 353
Voltage,10162395,0.47556858837727745,num 354
Current,10166375,0.08786580526818366,num 354
Current,10172452,0.13946113154284756,num 355
Voltage,10178039,0.34851363305818017,num 356
Current,10182718,0.7619204264000409,num 356
Current,10190261,0.5802825174801005,num 358
Voltage,10195639,0.2510726440449421,num 359
Voltage,10201506,0.3664021692675613,num 360
Current,10205696,0.1469340444126016,num 360
Voltage,10213029,0.9549499058774475,num 362
Current,10216731,0.3739681916971317,num 362
Voltage,10222318,0.20038206890583787,num 363
Current,10226439,0.9393621272411414,num 363
Current,10232934,0.9458386133317437,num 364
Current,10238522,0.29918930537554567,num 365
Current,10244179,0.4688940047400463,num 366
Current,10251442,0.2985912048168138,num 368
Current,10259474,0.9608851323114357,num 370
Current,10268553,0.07286292058667143,num 373
Voltage,10276934,0.10912581499928309,num 375
Voltage,10284477,0.4038837771234638,num 377
Current,10288318,0.07018916838920564,num 377
Voltage,10294395,0.7199922725315562,num 378
Current,10298725,0.4143910896656853,num 378
Voltage,10304801,0.25117925192968094,num 379
Voltage,10312763,0.2750414873424002,num 381
Current,10319956,0.6884125157923833,num 382
Voltage,10330502,0.6033609503200814,num 384
Current,10334414,0.649550837394205,num 384
Voltage,10339861,0.8878928677942224,num 385
Voltage,10345449,0.6398307063553099,num 386
Current,10349080,0.6855436531769279,num 386
Current,10355645,0.1395792427614465,num 387
Voltage,10361163,0.5602571306193603,num 388
Current,10364794,0.35957230857649447,num 388
Current,10372896,0.7522090446728579,num 390
Voltage,10379042,0.14588872489390847,num 391
Current,10382744,0.9544447410212892,num 391
Voltage,10395664,0.43440389652010225,num 396
Current,10399436,0.35821385743232226,num 396
Current,10405023,0.5710740467219931,num 397
Voltage,10412077,0.10072428859230942,num 399
Current,10417595,0.6519986355292685,num 400
Voltage,10423391,0.6079420912837381,num 401
Current,10429118,0.13111180277325163,num 402
Voltage,10436242,0.5330112070821262,num 404
Current,10439804,0.3105994147208272,num 404
Current,10445531,0.17242435686598812,num 405
Current,10450769,0.7725938435106994,num 406
Voltage,10458941,0.9084954192414078,num 409
Current,10465994,0.5362054617086874,num 411
Voltage,10470953,0.8855783020769648,num 412
Voltage,10477379,0.31154772459292257,num 414
Voltage,10482896,0.4416151944421288,num 415
Current,10487855,0.5294725376744569,num 416
Voltage,10494280,0.6079705588417439,num 418
Voltage,10499309,0.9495868095803549,num 419
Current,10503709,0.6341161410439224,num 419
Voltage,10508667,0.2801734353150852,num 420
Current,10511880,0.6071554514407288,num 420
Current,10517258,0.3151416806324787,num 421
Current,10522217,0.4948417835193283,num 422
Voltage,10528852,0.9718120085287957,num 423
Voltage,10533880,0.57555702718821,num 424
Current,10537861,0.42726105815219306,num 424
Voltage,10543030,0.5445095055728217,num 425
Current,10548617,0.9699397418390883,num 426
Voltage,10557277,0.30348013088897474,num 429
Current,10560699,0.9096998695899059,num 429
Voltage,10565588,0.13081604978614048,num 430
Current,10569499,0.481372570217832,num 430
Current,10574528,0.3707090360340731,num 431
Voltage,10580883,0.9780252472779257,num 433
Current,10587379,0.41678285465293585,num 435
Voltage,10592686,0.2551390644159325,num 436
Voltage,10603582,0.556604774973107,num 441
Current,10607493,0.8248445652917739,num 441
Current,10612452,0.5781595094653922,num 442
Voltage,10617340,0.021291377761150865,num 443
Current,10621391,0.34928026768955756,num 443
Voltage,10626420,0.3380825686129644,num 444
Voltage,10635080,0.7983136824925018,num 447
Voltage,10640039,0.7386921227010547,num 448
Current,10643741,0.8945707469082279,num 448
Current,10649118,0.279895892886165,num 449
Voltage,10653937,0.8680923433744901,num 450
Current,10660991,0.8202892484012648,num 452
Voltage,10665810,0.7673002813770956,num 453
Voltage,10671118,0.7063617535388954,num 454
Current,10676007,0.40122557145273074,num 455
Voltage,10681106,0.28974391278587786,num 456
Current,10684598,0.21050255244447158,num 456
Voltage,10689417,0.14291269907023196,num 457
Current,10694934,0.8634026462107667,num 458
Voltage,10701429,0.0838049357265549,num 460
Current,10705201,0.9011664913154371,num 460
Voltage,10710020,0.7205019632196539,num 461
Current,10713861,0.24025427235356756,num 461
Current,10733417,0.12740694879422387,num 462
Voltage,10742287,0.4538570575699351,num 464
Current,10745849,0.4896015419989249,num 464
Voltage,10751436,0.37737479189125767,num 465
Voltage,10756674,0.9206581206529111,num 466
Current,10761702,0.033222102607357695,num 467
Voltage,10767220,0.8628400074040214,num 468
Voltage,10772249,0.4812727131034138,num 469
Current,10776229,0.995438722601115,num 469
Current,10781398,0.31976509050236757,num 470
Voltage,10786496,0.16652664061744038,num 471
Current,10791525,0.5563778916661956,num 472
Voltage,10799487,0.3268344611660392,num 474
Current,10802769,0.5879261929746068,num 474
Current,10807518,0.502294765683964,num 475
Voltage,10812198,0.05951080150873067,num 476
Voltage,10818484,0.5003826382639331,num 477
Current,10821766,0.5856567131144171,num 477
Voltage,10842928,0.19230682050273518,num 478
Voltage,10848376,0.44988888799417515,num 479
Voltage,10854871,0.01852004371201521,num 481
Current,10860388,0.37316979932466665,num 481
Current,10865277,0.9564832775297383,num 482
Current,10870166,0.9797339463213369,num 483
Voltage,10876452,0.8303787313156235,num 485
Current,10880363,0.1379848882768574,num 485
Voltage,10885042,0.9255696934361134,num 486
Voltage,10891258,0.6100154460886303,num 488
Current,10895868,0.5105795595157581,num 489
Current,10902223,0.6690914157665907,num 490
Voltage,10911163,0.06770227137556362,num 494
Voltage,10916820,0.8222928705569046,num 495
Current,10926528,0.057552333330113226,num 495
Current,10933233,0.9461011087007948,num 496
Voltage,10944966,0.8081059826824436,num 497
Current,10954185,0.5189176106004132,num 497
Current,10962426,0.5478559181635788,num 498
Current,10975068,0.3413117985294536,num 499
Current,10985055,0.20246135110705266,num 501
Voltage,10993087,0.6184950889103786,num 502
Voltage,11002795,0.15563610116013882,num 503
Current,11008661,0.9145242374054355,num 503
Current,11024795,0.0895882576078878,num 504
Current,11041068,0.7475520361451515,num 505
Voltage,11056083,0.4630420455932268,num 506
Current,11063836,0.8920270723606625,num 506
Voltage,11072496,0.8386834368906613,num 507
Current,11082623,0.34260192646533294,num 507
Voltage,11092261,0.3356296655466847,num 508
Current,11100572,0.23895027651003953,num 509
Voltage,11120058,0.5845064990635043,num 511
Current,11127042,0.12406926454334377,num 511
Current,11137728,0.4289811938026279,num 513
Voltage,11150160,0.7972660879540988,num 515
Current,11157912,0.18143057945398233,num 516
Current,11168248,0.7676554224405695,num 518
Voltage,11189480,0.8149851848540345,num 519
Current,11251080,0.7266827894015011,num 519
Current,11266795,0.143577380311957,num 522
Current,11278039,0.18644458134205733,num 524
Voltage,11293544,0.9759258260917825,num 527
Voltage,11303042,0.6376177412200468,num 528
Current,11315474,0.3271206333031438,num 530
Voltage,11323576,0.4028051374688142,num 531
Voltage,11336496,0.10087507194195044,num 532
Current,11345785,0.08295910881400892,num 533
Voltage,11357029,0.6392200484995864,num 534
Voltage,11365480,0.9600090792553246,num 535
Current,11371556,0.7588305464767154,num 535
Voltage,11378960,0.7523398521856322,num 536
Voltage,11386503,0.6866859994182131,num 537
Current,11394814,0.43153576819717165,num 538
Current,11410179,0.26356324434104206,num 539
Voltage,11418001,0.8318334151887272,num 540
Voltage,11427360,0.4851859759657148,num 542
Current,11433925,0.8391084696417125,num 542
Current,11441118,0.8908079465850218,num 543
Current,11450198,0.4609367713168262,num 545
Voltage,11457461,0.5365677428198025,num 546
Voltage,11467449,0.8305977238919092,num 548
Voltage,11476598,0.11253105313334211,num 549
Current,11484211,0.16190331996660334,num 550
Voltage,11493499,0.8841264664355303,num 551
Current,11499017,0.296006032580165,num 551
Voltage,11506001,0.9559221069173371,num 552
Voltage,11512636,0.44492531339980257,num 553
Current,11518084,0.3992909990511083,num 553
Voltage,11530026,0.5863765276979216,num 554
Voltage,11539874,0.9885133722713972,num 555
Voltage,11546718,0.9666256754452565,num 556
Current,11551747,0.6443406192692264,num 556
Voltage,11558661,0.14690203746884922,num 557
Voltage,11567671,0.936072618019225,num 558
Current,11572769,0.005760875923950803,num 558
Voltage,11587436,0.5057689750703707,num 561
Current,11592953,0.3085635207774874,num 561
Voltage,11603709,0.6265258948262861,num 563
Current,11608807,0.31855657284616035,num 563
Current,11615861,0.04619818537090992,num 564
Current,11623963,0.01900058512598002,num 565
Current,11631646,0.24573377858084045,num 566
Voltage,11638769,0.7551201031732429,num 567
Current,11645893,0.9335166344177426,num 568
Voltage,11654972,0.8369035764906333,num 569
Voltage,11662096,0.9850362543748364,num 570
Voltage,11669220,0.0499651785639913,num 571
Current,11674738,0.7692789299381467,num 571
Voltage,11681512,0.7282823982140845,num 572
Current,11688706,0.6678913664504443,num 572
Voltage,11695411,0.5701771324561766,num 573
Current,11700020,0.7302267939702928,num 573
Current,11706795,0.1410918789523865,num 574
Current,11713709,0.8772483634234982,num 575
Voltage,11720833,0.48052567411017844,num 576
Voltage,11727677,0.44832936451331085,num 577
Current,11732566,0.2794642288345476,num 577
Voltage,11740807,0.24842084289172228,num 578
Current,11745976,0.6442665402944979,num 578
Current,11754496,0.2035796792457515,num 579
Voltage,11765741,0.3399126815792711,num 582
Current,11772585,0.028765836909501075,num 583
Current,11781665,0.5518423871963847,num 584
Voltage,11788998,0.22703246010571598,num 585
Current,11794166,0.68956613286029,num 585
Voltage,11800731,0.9706971819632886,num 586
Voltage,11812604,0.22278105051073605,num 589
Current,11821055,0.6661263795823541,num 589
Current,11828807,0.2677049680291541,num 590
Voltage,11835722,0.9421613057791915,num 591
Current,11840680,0.13122257736883847,num 591
Current,11852064,0.7868738474120867,num 593
Current,11869595,0.31461636460553766,num 594
Current,11877137,0.5421370459031525,num 595
Current,11884541,0.24187138165356636,num 596
Current,11893061,0.7492063562632968,num 599
Voltage,11897601,0.11850364921031586,num 600
Current,11900674,0.5047011429286098,num 600
Current,11915341,0.22624079986380974,num 603
Voltage,11920928,0.2093416319957183,num 604
Current,11925119,0.7365334063426375,num 604
Current,11929588,0.679950324517556,num 605
Voltage,11937131,0.3825840578131119,num 607
Current,11940065,0.3766678651519112,num 607
Voltage,11946560,0.22330468091061517,num 610
Voltage,11955569,0.019254800792304017,num 612
Current,11961576,0.6080483190528004,num 612
Voltage,11968630,0.4521760867987008,num 613
Voltage,11977011,0.08403485054733861,num 615
Current,11981830,0.9993076605434137,num 616
Voltage,11987277,0.31537917943275184,num 617
Current,11990350,0.4318170772041082,num 617
Voltage,12001665,0.7040066125044562,num 619
Current,12005855,0.37619027160274476,num 619
Voltage,12010046,0.3875650476257887,num 620
Voltage,12014236,0.7818635124456539,num 621
Voltage,12018357,0.06489228654781931,num 622
Voltage,12023455,0.6200871603135018,num 623
Current,12026458,0.9473357996682468,num 623
Voltage,12030579,0.2696475454925932,num 624
Current,12033372,0.43398777033500435,num 624
Voltage,12037493,0.3247251957852335,num 625
Current,12042172,0.3682561751637994,num 626
Voltage,12046992,0.5678427205614177,num 627
Current,12049855,0.8150660188666744,num 627
Current,12053976,0.2134351140806242,num 628
Voltage,12058236,0.40570818049904167,num 629
Current,12061588,0.10452638549899906,num 629
Voltage,12065709,0.4644544722666559,num 630
Voltage,12069830,0.2612436070698615,num 631
Current,12074020,0.7511710725319771,num 632
Voltage,12078210,0.7484678887169063,num 633
Current,12088268,0.43677025083207277,num 634
Current,12092528,0.46489574156769564,num 635
Current,12096718,0.07893122674646735,num 636
Voltage,12101188,0.34277377137623033,num 637
Current,12104890,0.7228464077762927,num 637
Voltage,12110966,0.7079814196149988,num 638
Current,12116973,0.3190050307263599,num 639
Current,12121093,0.5527399098489068,num 640
Voltage,12127030,0.502607978758474,num 642
Current,12131150,0.9924337502064405,num 643
Voltage,12137715,0.6908120734758407,num 646
Current,12144909,0.19692857631494187,num 646
Voltage,12808681,0.1541932475775456,num 647
Voltage,12827188,0.8159290427903796,num 648
Current,12841995,0.9872159610273632,num 648
Current,12847303,0.8494913823265609,num 649
Voltage,12852611,0.4018625376573244,num 650
Voltage,12857919,0.908102671699668,num 652
Voltage,12861969,0.7953968735885175,num 653
Voltage,12866369,0.031163888155513075,num 654
Current,12870281,0.21837168731262657,num 654
Voltage,12874261,0.6113504734076534,num 655
Current,12876776,0.13936779253953202,num 655
Current,12881874,0.14313908596977376,num 657
Current,12886204,0.18936231705945594,num 658
Voltage,12889976,0.5410296048952508,num 659
Voltage,12893817,0.687715139506582,num 660
Current,12896331,0.08732612247947213,num 660
Current,12900312,0.8798209767095773,num 661
Voltage,12904573,0.8416680010648877,num 662
Current,12907087,0.9746749292897815,num 662
Voltage,12912255,0.1879161475331591,num 664
Voltage,12916027,0.7183489691382561,num 665
Voltage,12920217,0.5125996116920226,num 666
Current,12922731,0.5850419383194984,num 666
Current,12928458,0.783500077842759,num 668
Voltage,12933138,0.3151623325873202,num 669
Current,12937887,0.6076175006300053,num 669
Voltage,12943823,0.9972071132921297,num 670
Voltage,12948154,0.5827848816213539,num 671
Current,12950738,0.25912342237299135,num 671
