DataDescriptor,TimeElap(ns),Value,AdditionalComment
MotorSetCommand,1005469969,1.857406042606532E15,0; p: 5.0
In_Voltage,1027027877,7.1341344406878875,2; p: 5.0
Temperature,1027038982,3.2526426701361055,3; p: 5.0
Out_Current,1027049877,16.14512617866714,3; p: 5.0
Out_Voltage,1027060702,19.63910289632227,3; p: 5.0
In_Voltage,1027074042,14.03092440695223,3; p: 5.0
Temperature,1027084658,11.102652574589877,4; p: 5.0
Out_Current,1027096461,7.57130884805422,4; p: 5.0
Out_Voltage,1027107147,15.007163074432247,4; p: 5.0
In_Voltage,1027118461,8.029485035724246,4; p: 5.0
Temperature,1037661142,13.379725805297399,1; p: 5.0
Out_Current,1037679231,15.368789636818347,1; p: 5.0
Out_Voltage,1037690545,8.153382023933762,1; p: 5.0
In_Voltage,1037705072,4.935376331751268,1; p: 5.0
Temperature,1037751447,2.1792813220067617,2; p: 5.0
Out_Current,1037762621,12.447519831764108,2; p: 5.0
Out_Voltage,1037772469,18.06535484329162,2; p: 5.0
In_Voltage,1037782386,17.634699176127906,2; p: 5.0
Temperature,1037792234,15.27926432385895,3; p: 5.0
Out_Current,1037802082,7.093648115966729,3; p: 5.0
Out_Voltage,1037811510,7.0182782462810795,3; p: 5.0
In_Voltage,1037821986,2.011738069808092,3; p: 5.0
Temperature,1037831555,10.208028781601433,4; p: 5.0
Out_Current,1037841332,2.3261725623520695,4; p: 5.0
Out_Voltage,1037850970,2.0916153144689846,4; p: 5.0
In_Voltage,1037860608,14.029242489133962,4; p: 5.0
Temperature,1048392324,2.1948001362485248,1; p: 5.0
Out_Current,1048409854,5.157208076765365,1; p: 5.0
Out_Voltage,1049132502,2.2992202082205777,1; p: 5.0
In_Voltage,1049144794,9.060943816537089,1; p: 5.0
Temperature,1049155550,6.258840970087044,2; p: 5.0
Out_Current,1049165607,3.2178416147316615,2; p: 5.0
Out_Voltage,1049175664,18.49959890175579,2; p: 5.0
In_Voltage,1049185791,6.085833161899921,2; p: 5.0
Temperature,1049195499,17.01629731995733,3; p: 5.0
Out_Current,1049205975,19.17515307853829,3; p: 5.0
Out_Voltage,1049215264,14.465130875025492,3; p: 5.0
In_Voltage,1049224972,17.264839168350374,3; p: 5.0
Temperature,1049234750,5.086308889112133,4; p: 5.0
Out_Current,1049244108,3.2765866741082412,4; p: 5.0
Out_Voltage,1049255981,11.274318008154845,4; p: 5.0
In_Voltage,1049265969,4.004740693698404,4; p: 5.0
Temperature,1059195513,5.066051392313283,1; p: 5.0
Out_Current,1059218491,9.016277508072717,1; p: 5.0
Out_Voltage,1059231132,4.179739043471748,1; p: 5.0
In_Voltage,1059242446,7.494775086258027,1; p: 5.0
Temperature,1059254668,6.226288684109585,2; p: 5.0
Out_Current,1059264586,2.0259083768385597,2; p: 5.0
Out_Voltage,1059274992,1.148224024138209,2; p: 5.0
In_Voltage,1059286376,18.030765359315723,2; p: 5.0
Temperature,1059297411,8.089699983870217,3; p: 5.0
Out_Current,1059307468,6.183024670569852,3; p: 5.0
Out_Voltage,1059960624,19.45027878361339,3; p: 5.0
In_Voltage,1059977526,7.00560716054739,3; p: 5.0
Temperature,1059989818,9.012689161874446,4; p: 5.0
Out_Current,1059999945,0.26364290989887657,4; p: 5.0
Out_Voltage,1060012237,16.089837011766193,4; p: 5.0
In_Voltage,1060022364,1.1410007709549368,4; p: 5.0
Temperature,1069964409,3.0068039209056625,1; p: 5.0
Out_Current,1070043749,0.12763458120168006,1; p: 5.0
Out_Voltage,1070104371,5.068191827067075,1; p: 5.0
In_Voltage,1070126302,14.424137789117848,1; p: 5.0
Temperature,1070148232,16.09010625717586,2; p: 5.0
Out_Current,1070179311,2.4506058731669897,2; p: 5.0
Out_Voltage,1070189927,8.805685492689127,2; p: 5.0
In_Voltage,1070199775,11.747208392439589,2; p: 5.0
Temperature,1070210809,16.257292798181602,3; p: 5.0
Out_Current,1070221775,15.282187691449762,3; p: 5.0
Out_Voltage,1070234486,10.514995449778704,3; p: 5.0
In_Voltage,1070249083,12.135351862932284,3; p: 5.0
Temperature,1070260117,0.3200011737450965,4; p: 5.0
Out_Current,1070270175,0.2752860884148378,4; p: 5.0
Out_Voltage,1070280302,8.08405296851218,4; p: 5.0
In_Voltage,1070290638,4.123085017782002,4; p: 5.0
Temperature,1080657179,7.454930705963589,1; p: 5.0
Out_Current,1080680925,5.01436025036895,1; p: 5.0
Out_Voltage,1080691541,2.861256313599279,1; p: 5.0
In_Voltage,1080703414,16.010734506109745,1; p: 5.0
Temperature,1080713052,19.59731287652252,2; p: 5.0
Out_Current,1080731001,4.328649108902554,2; p: 5.0
Out_Voltage,1080741687,19.217728598217988,2; p: 5.0
In_Voltage,1080752163,1.0128465363512564,2; p: 5.0
Temperature,1080765154,0.17632507539380027,3; p: 5.0
Out_Current,1080775979,3.5781641198099132,3; p: 5.0
Out_Voltage,1080785547,18.04510762824512,3; p: 5.0
In_Voltage,1080794696,16.208638637437318,3; p: 5.0
Temperature,1080803566,14.072626677281324,4; p: 5.0
Out_Current,1080812506,10.118592902234628,4; p: 5.0
Out_Voltage,1080821306,3.4845827011535917,4; p: 5.0
In_Voltage,1080830455,0.45751722917351384,4; p: 5.0
Temperature,1091413015,16.15518359258109,1; p: 5.0
Out_Current,1091443326,16.15262415185411,1; p: 5.0
Out_Voltage,1091454431,15.068611052398623,1; p: 5.0
In_Voltage,1091463022,0.2671872046503833,1; p: 5.0
Temperature,1091471053,18.37167645135164,2; p: 5.0
Out_Current,1091478526,14.04203207723193,2; p: 5.0
Out_Voltage,1091485161,13.1523653610249,2; p: 5.0
In_Voltage,1091491796,4.361093825184383,2; p: 5.0
Temperature,1091498780,4.570337338536326,3; p: 5.0
Out_Current,1091505136,6.367861393482452,3; p: 5.0
Out_Voltage,1091510863,11.035062076000486,3; p: 5.0
In_Voltage,1091522177,4.013702410007017,3; p: 5.0
Temperature,1091528533,5.092466824400078,4; p: 5.0
Out_Current,1091534539,17.090189068561656,4; p: 5.0
Out_Voltage,1091540266,8.369458705994708,4; p: 5.0
In_Voltage,1091546831,4.7107512081721445,4; p: 5.0
Temperature,1102120242,7.12061171705563,1; p: 5.0
Out_Current,1102135817,16.26471003143344,1; p: 5.0
Out_Voltage,1102144547,18.209787318897494,1; p: 5.0
In_Voltage,1102156001,11.106935772723924,1; p: 5.0
Temperature,1102168083,13.277535099608444,2; p: 5.0
Out_Current,1102175277,16.548967999941375,2; p: 5.0
Out_Voltage,1102183379,2.129006987896836,2; p: 5.0
In_Voltage,1102190014,19.111854653730024,2; p: 5.0
Temperature,1102196439,18.31066191896366,3; p: 5.0
Out_Current,1102202725,17.11562564523811,3; p: 5.0
Out_Voltage,1102208661,14.72139265928467,3; p: 5.0
In_Voltage,1102214737,1.035260916553314,3; p: 5.0
Temperature,1102220744,4.064483651289418,4; p: 5.0
Out_Current,1102227239,15.204361449580189,4; p: 5.0
Out_Voltage,1102233245,9.009350352030342,4; p: 5.0
In_Voltage,1102238972,1.2939673917405947,4; p: 5.0
Temperature,1112891234,19.011965091138368,1; p: 5.0
Out_Current,1112908834,17.104976025734306,1; p: 5.0
Out_Voltage,1112917634,8.070025668352374,1; p: 5.0
In_Voltage,1112925177,0.04844680318392777,1; p: 5.0
Temperature,1112934675,12.393429816635056,2; p: 5.0
Out_Current,1112941240,2.015051893216674,2; p: 5.0
Out_Voltage,1112956675,18.456515491246982,2; p: 5.0
In_Voltage,1112966663,6.060299212763321,2; p: 5.0
Temperature,1112972948,11.235049855059152,3; p: 5.0
Out_Current,1112981329,10.51924488346469,3; p: 5.0
Out_Voltage,1112989501,6.209985200129191,3; p: 5.0
In_Voltage,1113008777,5.039275991340465,3; p: 5.0
Temperature,1113018415,5.342321577119835,4; p: 5.0
Out_Current,1113027215,16.358606288917056,4; p: 5.0
Out_Voltage,1113040974,17.00760948569613,4; p: 5.0
In_Voltage,1113051031,1.0398942946337397,4; p: 5.0
Temperature,1123637572,10.380064225472799,1; p: 5.0
Out_Current,1123652658,14.767922503409482,1; p: 5.0
Out_Voltage,1123661527,15.364656680458808,1; p: 5.0
In_Voltage,1123667534,7.360610456553202,1; p: 5.0
Temperature,1123673261,18.249546924738347,2; p: 5.0
Out_Current,1123678638,7.753544948862229,2; p: 5.0
Out_Voltage,1123683458,11.390301312012278,2; p: 5.0
In_Voltage,1123688416,5.584264595748655,2; p: 5.0
Temperature,1123693305,12.099854356147825,3; p: 5.0
Out_Current,1123698823,19.331638058661536,3; p: 5.0
Out_Voltage,1123703502,10.709363706925139,3; p: 5.0
In_Voltage,1123708391,14.425030285649015,3; p: 5.0
Temperature,1123713140,1.232264532780784,4; p: 5.0
Out_Current,1123717959,10.741226306475477,4; p: 5.0
Out_Voltage,1123722499,5.160009318297418,4; p: 5.0
In_Voltage,1123726899,5.062702338801248,4; p: 5.0
Temperature,1134367078,18.14605727759308,1; p: 5.0
Out_Current,1134388449,17.45907107134134,1; p: 5.0
Out_Voltage,1134397668,9.190913456494698,1; p: 5.0
In_Voltage,1134405700,2.160922356870594,1; p: 5.0
Temperature,1134413034,18.245974301006523,2; p: 5.0
Out_Current,1134419948,17.54762133459651,2; p: 5.0
Out_Voltage,1134427351,10.577201429559663,2; p: 5.0
In_Voltage,1134436011,16.602500636673923,2; p: 5.0
Temperature,1134443484,8.451587575928155,3; p: 5.0
Out_Current,1134450259,9.304699758516477,3; p: 5.0
Out_Voltage,1134457103,1.557166465760134,3; p: 5.0
In_Voltage,1134463808,8.016271128615903,3; p: 5.0
Temperature,1134470443,14.081200050313738,4; p: 5.0
Out_Current,1134477218,11.095407576765785,4; p: 5.0
Out_Voltage,1134498449,5.311952987420325,4; p: 5.0
In_Voltage,1134506691,11.11578168458605,4; p: 5.0
Temperature,1145111879,9.060073823784888,1; p: 5.0
Out_Current,1145129549,16.10592223821913,1; p: 5.0
Out_Voltage,1145137651,1.1294004191224944,1; p: 5.0
In_Voltage,1145144914,19.766021599986715,1; p: 5.0
Temperature,1145151968,6.087950713342285,2; p: 5.0
Out_Current,1145161746,0.1568536917599835,2; p: 5.0
Out_Voltage,1145168521,6.130853511623034,2; p: 5.0
In_Voltage,1145174946,8.041570452438217,2; p: 5.0
Temperature,1145191638,8.394361191670688,3; p: 5.0
Out_Current,1145200438,9.386256506344733,3; p: 5.0
Out_Voltage,1145206654,5.002760031627472,3; p: 5.0
In_Voltage,1145215454,19.516712085458416,3; p: 5.0
Temperature,1145223067,1.0158188860571635,4; p: 5.0
Out_Current,1145229213,11.21513400599546,4; p: 5.0
Out_Voltage,1145235359,2.251077100848311,4; p: 5.0
In_Voltage,1145241435,18.037821714649194,4; p: 5.0
Temperature,1155873862,6.254092214493583,1; p: 5.0
Out_Current,1155889087,1.1928112691667165,1; p: 5.0
Out_Voltage,1155894814,4.297019936399086,1; p: 5.0
In_Voltage,1155901798,18.148301166047,1; p: 5.0
Temperature,1155906617,15.289139917395294,2; p: 5.0
Out_Current,1155919258,17.860326894084128,2; p: 5.0
Out_Voltage,1155925684,9.267538078923168,2; p: 5.0
In_Voltage,1155930852,3.0295176902357475,2; p: 5.0
Temperature,1155938604,9.308150612280896,3; p: 5.0
Out_Current,1155943982,5.16922339262034,3; p: 5.0
Out_Voltage,1155949570,16.55617807242492,3; p: 5.0
In_Voltage,1156002230,13.190703675236296,3; p: 5.0
Temperature,1156009773,10.266032529104258,4; p: 5.0
Out_Current,1156014801,0.03894007683604633,4; p: 5.0
Out_Voltage,1156020947,0.12421715258951592,4; p: 5.0
In_Voltage,1156030935,11.427298895795037,4; p: 5.0
Temperature,1166627253,17.2164378449074,1; p: 5.0
Out_Current,1166655050,3.1026597730550654,1; p: 5.0
Out_Voltage,1166688853,7.017496010629238,1; p: 5.0
In_Voltage,1166712739,11.02374047624952,1; p: 5.0
Temperature,1166724333,5.089374203685052,2; p: 5.0
Out_Current,1166739419,15.305312187391616,2; p: 5.0
Out_Voltage,1166754085,17.367774495217933,2; p: 5.0
In_Voltage,1166776784,0.28180367384109056,2; p: 5.0
Temperature,1166792219,17.005343181541797,3; p: 5.0
Out_Current,1166824974,13.028345351785173,3; p: 5.0
Out_Voltage,1166847882,6.6057072421205305,3; p: 5.0
In_Voltage,1166870161,13.445735852028823,3; p: 5.0
Temperature,1166892860,19.717296383323998,4; p: 5.0
Out_Current,1166897888,4.003389561114225,4; p: 5.0
Out_Voltage,1166901450,18.084887984750033,4; p: 5.0
In_Voltage,1166913184,2.0765614188781276,4; p: 5.0
Temperature,1177338950,15.324427962696813,1; p: 5.0
Out_Current,1177353896,0.12390732133057723,1; p: 5.0
Out_Voltage,1177358436,19.739550890128683,1; p: 5.0
In_Voltage,1177362347,14.347180075311309,1; p: 5.0
Temperature,1177366747,3.5228407203877303,2; p: 5.0
Out_Current,1177372544,5.76018320889229,2; p: 5.0
Out_Voltage,1177379388,8.395097053177324,2; p: 5.0
In_Voltage,1177382740,10.038903559609714,2; p: 5.0
Temperature,1177386233,18.206779148898164,3; p: 5.0
Out_Current,1177389096,3.5205756081078947,3; p: 5.0
Out_Voltage,1177391890,1.2341142357855006,3; p: 5.0
In_Voltage,1177394683,5.24509050698652,3; p: 5.0
Temperature,1177397617,8.124061427725346,4; p: 5.0
Out_Current,1177401388,5.383424597468597,4; p: 5.0
Out_Voltage,1177404182,19.072744186657857,4; p: 5.0
In_Voltage,1177407045,13.172075669374935,4; p: 5.0
Temperature,1188091504,15.044893728087086,1; p: 5.0
Out_Current,1188108056,11.025045375491802,1; p: 5.0
Out_Voltage,1188114062,6.080699462924797,1; p: 5.0
In_Voltage,1188119510,14.578002046762641,1; p: 5.0
Temperature,1188126913,7.096441022203139,2; p: 5.0
Out_Current,1188130545,11.13026950354703,2; p: 5.0
Out_Voltage,1188133409,8.21633236251699,2; p: 5.0
In_Voltage,1188136272,6.109760980486968,2; p: 5.0
Temperature,1188139555,5.176058233615319,3; p: 5.0
Out_Current,1188142348,2.4993436941258493,3; p: 5.0
Out_Voltage,1188145142,7.014152644033332,3; p: 5.0
In_Voltage,1188167561,7.248710949809026,3; p: 5.0
Temperature,1188170634,9.24360968414178,4; p: 5.0
Out_Current,1188173428,0.13544512419751462,4; p: 5.0
Out_Voltage,1188176501,9.00341921843638,4; p: 5.0
In_Voltage,1188179294,5.0175465541554045,4; p: 5.0
Temperature,1198846013,13.610588161309172,1; p: 5.0
Out_Current,1198861308,3.3010755599440076,1; p: 5.0
Out_Voltage,1198866127,13.545441334429576,1; p: 5.0
In_Voltage,1198870877,3.065614201879258,1; p: 5.0
Temperature,1198875486,9.251950271580203,2; p: 5.0
Out_Current,1198879747,4.058375164168785,2; p: 5.0
Out_Voltage,1198883797,11.04764422249339,2; p: 5.0
In_Voltage,1198888127,1.0872152363714422,2; p: 5.0
Temperature,1198893435,18.344969622446182,3; p: 5.0
Out_Current,1198897835,4.507043159350533,3; p: 5.0
Out_Voltage,1198902096,13.060652594404912,3; p: 5.0
In_Voltage,1198906496,5.055954641598105,3; p: 5.0
Temperature,1198911105,7.508320754044405,4; p: 5.0
Out_Current,1198915296,9.008779023392615,4; p: 5.0
Out_Voltage,1198919556,17.0843885097434,4; p: 5.0
In_Voltage,1198924654,15.040300088185242,4; p: 5.0
Temperature,1209566929,6.005574859821986,1; p: 5.0
Out_Current,1209578173,11.37128175151866,1; p: 5.0
Out_Voltage,1209583970,3.1873543523557215,1; p: 5.0
In_Voltage,1209589627,8.30317856343488,1; p: 5.0
Temperature,1209594795,3.26306458273677,2; p: 5.0
Out_Current,1209600453,13.025309476486012,2; p: 5.0
Out_Voltage,1209607507,10.464999511235522,2; p: 5.0
In_Voltage,1209612186,12.030315904999929,2; p: 5.0
Temperature,1209616935,18.54952963192848,3; p: 5.0
Out_Current,1209621894,4.055441387939401,3; p: 5.0
Out_Voltage,1209626573,4.017536631338463,3; p: 5.0
In_Voltage,1209631672,2.3347479295782168,3; p: 5.0
Temperature,1209635792,18.128604970317,4; p: 5.0
Out_Current,1209639494,11.313947167340947,4; p: 5.0
Out_Voltage,1209642427,9.052185628453225,4; p: 5.0
In_Voltage,1209651507,2.0059515301082893,4; p: 5.0
Temperature,1220334429,8.089433834458166,1; p: 5.0
Out_Current,1220345882,1.0133525443954687,1; p: 5.0
Out_Voltage,1220349374,13.214945772390363,1; p: 5.0
In_Voltage,1220352448,13.089008620021772,1; p: 5.0
Temperature,1220357406,9.004368861051004,2; p: 5.0
Out_Current,1220360409,10.043328083276865,2; p: 5.0
Out_Voltage,1220363064,17.618732018419028,2; p: 5.0
In_Voltage,1220366416,15.026154082450764,2; p: 5.0
Temperature,1220369070,1.09509324652777,3; p: 5.0
Out_Current,1220371794,15.026843487974226,3; p: 5.0
Out_Voltage,1220374517,5.076339162134049,3; p: 5.0
In_Voltage,1220378079,17.116532043501476,3; p: 5.0
Temperature,1220380594,8.022208050795175,4; p: 5.0
Out_Current,1220383178,0.03425000536846729,4; p: 5.0
Out_Voltage,1220397425,9.085089372281066,4; p: 5.0
In_Voltage,1220400219,0.0879980744280071,4; p: 5.0
Temperature,1231063795,0.07209210023548968,1; p: 5.0
Out_Current,1231076227,5.117836415738251,1; p: 5.0
Out_Voltage,1231084049,0.20114091698048517,1; p: 5.0
In_Voltage,1231088449,15.10709909116919,1; p: 5.0
Temperature,1231092360,6.260460709212736,2; p: 5.0
Out_Current,1231095712,3.534417113767743,2; p: 5.0
Out_Voltage,1231098995,7.457251626919229,2; p: 5.0
In_Voltage,1231102278,13.417047709128942,2; p: 5.0
Temperature,1231105770,2.012212333696795,3; p: 5.0
Out_Current,1231109401,4.063227067608042,3; p: 5.0
Out_Voltage,1231112125,15.345734949257821,3; p: 5.0
In_Voltage,1231115338,12.088141376384803,3; p: 5.0
Temperature,1231118271,3.217626246552791,4; p: 5.0
Out_Current,1231121065,19.019112156941237,4; p: 5.0
Out_Voltage,1231123858,17.23789981967259,4; p: 5.0
In_Voltage,1231126652,2.0924362815380553,4; p: 5.0
Temperature,1241811669,17.064597060862006,1; p: 5.0
Out_Current,1241821098,11.247491256087372,1; p: 5.0
Out_Voltage,1241825428,0.09221248066209248,1; p: 5.0
In_Voltage,1241830108,17.137202313599662,1; p: 5.0
Temperature,1241833111,15.009647503161618,2; p: 5.0
Out_Current,1241847218,10.290596862323985,2; p: 5.0
Out_Voltage,1241850711,15.335704978860024,2; p: 5.0
In_Voltage,1241854552,14.031935824673077,2; p: 5.0
Temperature,1241857345,6.7010265739943575,3; p: 5.0
Out_Current,1241891708,11.017087809922023,3; p: 5.0
Out_Voltage,1241903441,5.017636082872406,3; p: 5.0
In_Voltage,1241909028,1.2089409030542253,3; p: 5.0
Temperature,1241913009,17.69120176546511,4; p: 5.0
Out_Current,1241916920,2.0513551901621607,4; p: 5.0
Out_Voltage,1241921600,12.140483312341825,4; p: 5.0
In_Voltage,1241926069,14.080539622788118,4; p: 5.0
Temperature,1252573931,8.12900484809432,1; p: 5.0
Out_Current,1252601099,17.06956178761638,1; p: 5.0
Out_Voltage,1252606896,2.309279389378211,1; p: 5.0
In_Voltage,1252609760,11.08985671789391,1; p: 5.0
Temperature,1252612414,12.951189389296943,2; p: 5.0
Out_Current,1252616953,1.6820628722770352,2; p: 5.0
Out_Voltage,1252619328,7.707114336066716,2; p: 5.0
In_Voltage,1252621633,11.398680120927212,2; p: 5.0
Temperature,1252626452,9.01119683453079,3; p: 5.0
Out_Current,1252628756,0.28802746000916163,3; p: 5.0
Out_Voltage,1252631899,12.546110062089516,3; p: 5.0
In_Voltage,1252634274,13.442454202729639,3; p: 5.0
Temperature,1252637137,0.021499596124544808,4; p: 5.0
Out_Current,1252640490,12.012110288855437,4; p: 5.0
Out_Voltage,1252642725,3.0694334026100027,4; p: 5.0
In_Voltage,1252644960,15.027570261645211,4; p: 5.0
Temperature,1263298129,6.110834270645644,1; p: 5.0
Out_Current,1263304485,14.304067647799478,1; p: 5.0
Out_Voltage,1263311539,19.017161015499845,1; p: 5.0
In_Voltage,1263316847,18.251563059974558,1; p: 5.0
Temperature,1263319989,6.080662213102302,2; p: 5.0
Out_Current,1263322364,0.3029324697661503,2; p: 5.0
Out_Voltage,1263324878,12.090196350079719,2; p: 5.0
In_Voltage,1263327183,3.257844421791224,2; p: 5.0
Temperature,1263329558,4.493066133722771,3; p: 5.0
Out_Current,1263331793,19.429660400092033,3; p: 5.0
Out_Voltage,1263334726,5.822754743132574,3; p: 5.0
In_Voltage,1263337031,14.13832746156621,3; p: 5.0
Temperature,1263339405,17.217234239130672,4; p: 5.0
Out_Current,1263341640,1.0962914265266455,4; p: 5.0
Out_Voltage,1263344085,10.02934651131099,4; p: 5.0
In_Voltage,1263346320,3.005182657406337,4; p: 5.0
Temperature,1274035318,10.155740948760403,1; p: 5.0
Out_Current,1274043419,8.035775059838128,1; p: 5.0
Out_Voltage,1274046283,0.1618994304753961,1; p: 5.0
In_Voltage,1274049496,7.00576444479097,1; p: 5.0
Temperature,1274052219,0.019318764564227153,2; p: 5.0
Out_Current,1274055293,16.1017145574184,2; p: 5.0
Out_Voltage,1274057737,8.248817744861887,2; p: 5.0
In_Voltage,1274060251,10.11733355108002,2; p: 5.0
Temperature,1274063254,3.4855532552978494,3; p: 5.0
Out_Current,1274065629,17.164311186734924,3; p: 5.0
Out_Voltage,1274068073,19.27442632692416,3; p: 5.0
In_Voltage,1274070378,1.01705519580477,3; p: 5.0
Temperature,1274072683,6.179144314813179,4; p: 5.0
Out_Current,1274074988,5.139823677369609,4; p: 5.0
Out_Voltage,1274077223,4.557633852269533,4; p: 5.0
In_Voltage,1274079877,2.532587772059939,4; p: 5.0
Temperature,1284789129,10.013523282961051,1; p: 5.0
Out_Current,1284799256,5.267375488871091,1; p: 5.0
Out_Voltage,1284803376,2.1403882071812452,1; p: 5.0
In_Voltage,1284805961,2.377359381161518,1; p: 5.0
Temperature,1284808684,6.124738324968961,2; p: 5.0
Out_Current,1284811129,15.031673102310364,2; p: 5.0
Out_Voltage,1284815180,6.077981738274175,2; p: 5.0
In_Voltage,1284817694,11.083766878818146,2; p: 5.0
Temperature,1284820138,11.084395878535169,3; p: 5.0
Out_Current,1284822792,0.019348570470651506,3; p: 5.0
Out_Voltage,1284825725,8.083489845637919,3; p: 5.0
In_Voltage,1284828170,5.850414270992869,3; p: 5.0
Temperature,1284834805,8.026965300238656,4; p: 5.0
Out_Current,1284837878,10.007216612779741,4; p: 5.0
Out_Voltage,1284840322,14.525384085867238,4; p: 5.0
In_Voltage,1284842627,3.366719665135246,4; p: 5.0
Temperature,1295522057,8.284059811706467,1; p: 5.0
Out_Current,1295527575,2.079741293611087,1; p: 5.0
Out_Voltage,1295530299,18.176621081130666,1; p: 5.0
In_Voltage,1295532952,3.034375875425362,1; p: 5.0
Temperature,1295537003,10.285176988640224,2; p: 5.0
Out_Current,1295539517,18.175442332917612,2; p: 5.0
Out_Voltage,1295541752,16.08451078099771,2; p: 5.0
In_Voltage,1295544057,16.57519019377575,2; p: 5.0
Temperature,1295546292,16.247396105874678,3; p: 5.0
Out_Current,1295552089,8.139929455813526,3; p: 5.0
Out_Voltage,1295554464,18.31217788941452,3; p: 5.0
In_Voltage,1295557257,15.364113043925208,3; p: 5.0
Temperature,1295559562,16.138177066314093,4; p: 5.0
Out_Current,1295561867,12.325120568069643,4; p: 5.0
Out_Voltage,1295564241,13.049396007852154,4; p: 5.0
In_Voltage,1295566406,17.2498583278445,4; p: 5.0
Temperature,1306270211,6.279005845913481,1; p: 5.0
Out_Current,1306276846,10.397000642808443,1; p: 5.0
Out_Voltage,1306282363,1.4130347724469745,1; p: 5.0
In_Voltage,1306285646,8.181421976556466,1; p: 5.0
Temperature,1306288509,13.042261701663382,2; p: 5.0
Out_Current,1306295354,14.04532261835693,2; p: 5.0
Out_Voltage,1306297868,7.789742082935065,2; p: 5.0
In_Voltage,1306300313,7.040463124101938,2; p: 5.0
Temperature,1306302757,2.025910452678909,3; p: 5.0
Out_Current,1306305900,13.001009648439444,3; p: 5.0
Out_Voltage,1306308344,11.05724584648963,3; p: 5.0
In_Voltage,1306310719,6.006853838814172,3; p: 5.0
Temperature,1306313163,14.124387381692024,4; p: 5.0
Out_Current,1306315538,19.354057803133475,4; p: 5.0
Out_Voltage,1306317843,4.032011047500707,4; p: 5.0
In_Voltage,1306320078,12.021714554138972,4; p: 5.0
